股票代码,股票名称,最新价,涨跌幅(%),涨跌额,成交量(手),成交额(万),振幅(%),换手率(%),市盈率(TTM),总市值(万),流通市值(万)
600111,北方稀土,60.43,9.99,5.49,2791973,16548383074.0,9.7,7.72,106.3,218458428832,218458428832
601872,招商轮船,14.75,9.99,1.34,2107543,3086592751.0,7.08,2.61,27.07,119099442905,119099442905
002114,罗平锌电,10.68,9.99,0.97,295846,305469114.0,9.58,9.15,-26.9,3453861452,3453813990
002989,中天精装,30.28,9.99,2.75,70519,206318399.48,9.92,3.85,-73.79,6104670316,5551204906
001209,洪兴股份,26.87,9.99,2.44,206465,543859877.47,10.36,21.49,153.92,3534015486,2582062869
688072,拓荆科技,360.0,9.98,32.67,128250,4496189980.0,11.56,4.54,136.99,101644164720,101644164720
000012,南  玻Ａ,5.18,9.98,0.47,1072319,544342785.02,10.62,5.47,79.32,15906185114,10149259978
605196,华通线缆,48.17,9.98,4.37,196663,926323024.0,11.19,3.89,71.74,24615003961,24324057161
600397,江钨装备,18.74,9.98,1.7,1720841,3035919017.0,11.21,17.38,-45.36,18551848189,18551848189
002811,郑中设计,17.75,9.98,1.61,197151,337604450.31,10.1,6.96,30.26,5466467589,5025251756
000758,中色股份,8.49,9.97,0.77,773968,642818779.6,8.94,3.92,26.36,16898835006,16777660547
001896,豫能控股,11.03,9.97,1.0,3204863,3359413625.45,11.47,21.0,43.87,16829368070,16829368070
002176,江特电机,10.48,9.97,0.95,1110244,1130932914.58,9.65,6.51,-118.78,17882292089,17879080336
000545,金浦钛业,3.42,9.97,0.31,1634734,540837962.14,8.36,16.59,-10.88,3374969188,3370078588
600078,澄星股份,13.46,9.97,1.22,209594,282113201.0,0.0,3.16,244.73,9109901109,8918230709
603601,再升科技,13.02,9.97,1.18,1652806,2058024170.0,10.47,14.47,137.28,14873279442,14873279442
000036,华联控股,6.07,9.96,0.55,855128,497088702.62,8.7,6.1,179.1,8521179661,8504986467
600649,城投控股,5.63,9.96,0.51,993669,556305343.0,8.01,3.97,48.54,14100339324,14100339324
600110,诺德股份,8.17,9.96,0.74,1685347,1359149234.0,7.27,9.71,-113.42,14176428214,14176428214
600470,六国化工,7.84,9.96,0.71,194326,149530790.0,6.31,3.73,-14.79,4089344000,4089344000
000890,法尔胜,7.29,9.95,0.66,1345413,967309675.94,7.39,32.07,-100.75,3058183927,3058089725
002998,优彩资源,9.5,9.95,0.86,199465,183686833.25,9.95,7.45,49.58,3344877430,2543803914
000751,锌业股份,6.52,9.95,0.59,1712543,1087314966.95,8.6,12.15,153.64,10533911479,9192344439
600759,洲际油气,5.97,9.94,0.54,9393997,5479572718.0,9.39,22.67,223.62,24769585402,24737804107
002538,司尔特,7.96,9.94,0.72,413263,321149195.22,8.01,4.84,32.81,6794303873,6794262386
